r1,r2,r3,r4,r5,r6,r7,r8,label
400192,640624,153087,69733,98854,199537,66993,51772,0
681192,138630,67891,26459,592240,171435,164399,41765,0
268406,197772,190654,266433,91683,200452,107585,57841,0
314183,120068,138114,53890,335070,215349,95444,172670,0
629925,413423,130957,62414,21797,123356,70575,67885,0
536622,273382,68365,173574,142326,143461,86999,15912,0
1006255,61183,63598,58674,52984,101554,75619,48129,0
1007803,96427,285339,175395,143130,137048,161958,68124,0
700031,1160578,656538,128705,241307,371052,455502,99660,0
158779,109845,2475,15662,65672,87834,36362,22938,0
1003200,206996,6511,44440,62760,132805,58709,55043,0
727361,428847,149404,56542,123762,54668,45426,59590,0
228088,165013,172986,92917,64278,82667,148645,39442,0
834852,236055,142740,53304,345034,175330,495817,68060,0
781319,199954,99069,43748,185985,56859,26568,47266,0
166790,1017772,14900,150062,45207,140967,140910,81206,0
696525,153276,113698,253947,307553,189330,66520,98005,0
359841,565630,13546,127970,310301,184389,112355,101895,0
289259,241441,124619,139158,112768,194043,139304,106146,0
1204491,162897,71263,50296,441659,345905,127960,36150,0
1968195,243295,91307,166994,128181,91297,94052,42468,0
1893547,172367,62619,38564,25797,114492,76724,46732,0
1608306,952520,448113,192759,160248,94171,181119,95044,0
1786606,295951,50394,103483,473592,412984,80599,70521,0
434036,97112,15783,185642,30468,47505,33084,20209,0
1062702,289641,80184,180502,204510,260488,55924,46913,0
781039,520601,60971,235655,73143,87682,31438,20871,0
75961,371626,140184,109395,110326,66095,62240,25835,0
1214424,1545673,134561,369296,910848,276366,127390,45824,0
808281,216467,43757,104144,351737,108973,45931,13445,0
713383,132373,80142,17980,92811,37549,8452,25247,0
985333,337828,226374,85213,373569,112302,18394,11474,0
1089050,168274,140815,111502,50875,98603,23503,19762,0
1048243,238811,75236,70580,286912,49264,7375,4086,0
2042785,124661,36005,116967,24056,107248,45746,34584,0
658618,80729,49699,61424,90623,197355,84004,52743,0
1150862,128907,77421,19080,35389,115872,2814,937,0
1689484,394354,162069,432857,189860,559023,183903,111016,0
1176760,506407,109076,169778,126753,490685,189943,162853,0
1825839,268549,125309,261931,228776,260747,129825,133552,0
260304,1640992,90384,244806,415072,196124,50256,11696,0
994301,474186,150310,222926,250458,338043,792672,106734,0
124937,700106,550713,274964,172449,420634,90515,101272,0
2752602,746339,218063,403715,139503,175176,203026,271787,0
278253,226156,59755,57686,115048,118249,103333,80595,0
430537,24449,89325,43632,88321,197242,20971,40160,0
1754701,134511,61680,106806,98747,62533,12136,8533,0
2658628,430305,909243,504631,100628,373503,229333,306811,0
285549,214706,265904,181754,40168,101737,117401,98040,0
3232056,1199347,295919,214880,153305,604377,321441,124455,0
1092502,742544,187989,404173,136903,216294,292310,90153,0
1076369,404956,545631,155737,216860,88275,145135,154457,0
1115991,733477,89486,248204,303173,376016,439541,213036,0
594807,166731,46963,341263,221158,149860,145206,154713,0
1712525,637647,57475,149841,97534,246905,24405,8112,0
1513666,554667,209977,117380,128117,217709,157483,163965,0
2552773,169199,72676,62153,104752,58180,6525,3727,0
447872,1747537,575309,370507,297437,194933,268396,59025,0
1064158,278655,232694,69069,293187,105555,12520,8256,0
2091281,2392841,69647,1349491,243173,413675,562072,184112,0
146398,267186,6752,79124,215491,104671,105339,45241,0
